insolation,Temperature_MAX,Relative_Humidity,Precipitation,Specific_Humidity
4.3,28.42,61.74,0.0,10.15
4.23,28.61,64.57,0.0,10.92
4.17,27.46,67.83,0.0,11.3
4.36,28.25,56.52,0.0,9.0
4.15,27.52,63.82,0.0,10.41
4.42,29.0,55.63,0.0,8.91
4.29,28.34,56.66,0.0,9.18
4.32,29.09,53.54,0.0,8.67
4.29,29.91,52.22,0.0,8.94
4.38,28.96,53.58,0.0,8.88
4.56,27.81,55.87,0.0,8.89
4.55,27.97,54.68,0.0,8.94
4.56,28.08,46.56,0.0,7.22
4.41,28.92,47.4,0.0,7.44
4.49,28.63,56.13,0.0,9.44
4.59,29.63,53.22,0.0,9.44
4.43,29.76,59.56,0.41,10.56
4.42,28.66,68.1,1.47,12.05
4.23,29.19,70.88,1.4,12.93
3.04,28.14,73.46,3.93,13.63
3.89,24.08,70.22,25.37,10.44
4.81,25.54,51.76,0.0,7.2
4.96,25.77,50.13,0.0,6.88
4.94,26.12,49.34,0.0,6.8
4.98,26.63,52.01,0.0,7.5
4.71,27.21,66.62,0.0,10.23
4.46,27.51,72.92,0.0,12.24
4.55,30.51,66.02,0.0,12.25
4.8,29.7,62.61,0.0,10.93
4.95,30.82,58.8,0.0,10.79
5.05,32.85,52.38,0.0,10.14
5.02,31.8,61.75,0.01,11.88
4.69,31.01,68.74,0.0,13.72
4.3,30.82,69.8,0.0,13.8
4.68,29.61,68.78,0.04,13.2
4.81,29.85,66.91,0.01,12.37
4.89,30.13,68.46,0.0,13.18
4.64,30.27,70.81,0.0,13.84
4.95,30.69,69.22,0.03,13.63
4.85,31.13,63.78,0.01,12.8
5.36,31.72,55.28,0.0,10.93
4.9,31.7,69.63,0.0,14.41
5.05,32.59,66.81,0.0,14.72
4.84,32.5,64.51,0.0,14.02
5.01,32.61,64.13,0.0,13.94
5.23,33.09,57.29,0.04,12.69
5.31,33.68,53.88,0.0,12.01
5.46,34.69,50.62,0.0,11.49
5.54,34.8,49.5,0.0,11.3
5.53,36.18,45.88,0.0,10.79
5.59,36.69,46.94,0.0,11.31
5.31,36.05,51.78,0.0,12.48
5.39,36.66,57.5,0.0,14.35
4.88,34.29,66.11,0.03,15.9
4.88,33.52,64.52,0.09,15.29
3.88,31.66,69.19,2.91,15.66
4.35,30.22,71.33,3.21,15.09
3.34,28.46,69.62,2.41,13.49
5.54,31.86,65.23,3.83,13.86
5.32,33.44,60.31,0.78,13.67
4.94,33.17,57.12,0.22,12.99
5.19,33.77,56.51,0.06,13.05
5.59,34.62,52.46,0.0,12.3
5.21,35.14,47.19,0.01,11.27
5.72,35.41,49.26,0.19,11.89
5.85,35.64,52.2,0.1,12.83
5.89,36.28,49.19,0.19,11.86
5.95,36.36,48.77,0.0,11.8
5.28,36.5,50.56,0.0,12.55
5.56,36.19,52.06,0.0,13.19
5.41,35.49,52.68,0.01,13.18
5.58,36.39,54.08,0.02,13.72
6.07,36.9,52.53,0.06,13.21
5.44,33.94,57.64,1.49,13.06
5.97,33.7,57.89,1.24,13.62
6.13,35.58,52.32,0.16,13.48
5.5,35.4,53.9,0.46,14.1
6.13,36.0,57.63,0.98,15.05
6.11,37.43,58.5,0.86,16.02
6.39,39.3,47.62,0.25,13.66
6.5,39.92,41.52,0.06,11.92
6.41,38.46,50.88,0.06,14.3
6.45,38.1,53.86,0.0,14.97
6.39,37.56,55.53,0.0,15.26
6.4,36.22,59.56,0.0,15.73
6.41,37.2,59.56,0.0,15.8
6.39,36.22,62.05,1.18,16.21
6.19,35.62,60.96,2.99,15.71
6.43,36.68,60.03,0.41,15.79
3.89,36.72,61.58,2.04,16.42
6.42,37.13,60.87,2.91,16.51
6.55,38.24,56.28,0.78,15.72
6.45,38.53,56.95,0.29,16.23
6.57,39.25,56.68,0.14,16.48
6.52,39.3,55.97,0.08,16.53
4.15,40.6,51.3,0.06,15.59
6.5,41.14,45.43,0.47,14.5
6.59,41.17,42.23,0.2,13.66
6.62,38.83,45.79,0.41,14.25
6.72,41.11,42.58,0.03,13.52
6.74,42.53,39.12,0.07,12.94
6.65,43.14,38.29,0.0,13.16
6.75,42.73,40.2,0.0,13.68
6.71,42.19,45.96,0.0,14.93
6.85,41.19,53.68,0.0,16.89
6.89,41.06,54.91,0.0,17.22
6.82,41.25,55.78,0.08,17.29
6.53,42.35,52.62,0.15,16.89
6.43,41.13,52.31,0.16,16.53
6.78,41.1,49.24,0.02,15.42
6.77,41.11,51.78,0.01,15.99
6.78,42.64,51.35,0.02,16.94
6.87,42.92,50.76,0.01,17.12
6.96,43.38,48.23,0.01,16.5
6.93,42.42,50.22,0.0,16.59
6.87,40.23,58.94,0.01,18.61
6.23,39.26,61.29,0.21,18.66
6.85,41.7,52.55,0.24,17.18
6.84,42.95,48.45,0.36,16.38
5.6,40.94,50.8,1.4,16.67
2.47,41.81,45.39,2.64,15.41
6.4,42.04,48.09,0.25,15.83
6.91,42.59,48.38,0.41,15.96
6.19,40.67,50.3,0.46,16.42
6.67,40.59,43.94,0.38,14.41
6.72,40.41,48.48,0.31,15.38
6.68,40.01,49.74,2.07,15.82
6.67,37.85,55.1,4.07,16.71
4.61,36.47,60.24,2.41,17.46
6.68,35.65,63.09,2.56,17.6
5.98,37.55,57.8,2.95,17.09
5.72,37.63,59.12,3.81,17.56
6.72,38.34,59.19,2.11,18.21
6.73,39.73,58.7,1.12,18.66
5.97,37.94,62.6,1.28,19.09
6.67,39.55,58.2,0.39,18.18
6.72,39.47,56.71,0.24,17.87
6.63,37.86,62.08,0.45,18.78
4.71,33.17,66.49,2.5,18.19
2.1,32.59,76.9,8.51,19.96
1.99,29.62,86.81,79.02,20.33
6.81,37.31,66.92,3.34,18.5
6.14,37.81,73.37,11.08,21.8
6.77,39.57,63.45,6.05,20.22
6.64,39.77,64.29,2.52,20.26
6.69,39.12,64.62,4.21,20.54
6.85,39.56,60.36,6.11,19.05
4.62,39.73,57.09,1.68,18.41
6.65,38.73,63.53,3.76,19.8
4.57,35.76,65.79,4.29,19.15
5.64,36.93,67.09,1.99,19.48
6.36,35.31,71.1,4.11,20.23
5.65,34.35,73.05,8.75,20.28
6.63,33.05,78.53,6.56,20.78
3.98,30.62,85.64,12.89,21.5
3.41,31.56,78.74,11.43,19.41
4.52,33.05,74.85,2.38,19.34
4.04,32.56,76.01,2.47,19.76
5.16,32.38,77.95,7.02,20.22
3.83,32.24,79.3,8.17,20.06
4.03,31.77,80.85,8.75,20.52
6.33,35.64,75.44,1.86,21.16
6.35,34.77,73.78,0.5,20.87
5.93,34.73,76.08,0.76,21.9
5.45,30.65,81.94,4.98,21.2
4.3,34.88,73.93,0.43,20.52
1.17,31.78,82.4,24.72,21.34
1.61,29.32,86.86,5.08,21.18
3.54,32.07,80.76,10.69,20.36
3.34,31.28,82.75,6.84,20.51
4.37,31.5,81.81,9.56,20.48
4.53,31.56,82.24,5.59,20.51
5.68,32.58,78.47,0.5,19.72
5.99,32.44,77.62,0.63,19.98
5.89,33.15,76.97,1.19,20.07
6.16,31.84,80.33,2.27,20.51
6.0,34.33,73.0,0.51,19.57
2.68,31.92,80.98,24.47,20.66
2.8,30.98,85.21,20.48,21.02
4.08,31.37,85.04,9.29,20.98
5.14,31.83,84.31,9.47,21.17
4.23,32.29,82.43,3.78,21.37
2.64,31.95,85.2,3.06,21.67
1.35,31.14,85.94,16.88,21.66
1.5,31.6,84.68,16.17,21.46
2.13,30.15,88.12,9.01,21.61
1.07,31.12,87.26,6.55,21.42
4.04,31.42,84.93,1.99,21.55
3.38,31.98,84.59,5.81,21.52
1.59,30.6,86.98,25.57,21.11
3.35,29.74,83.47,3.04,19.26
2.54,31.4,81.06,3.25,19.43
2.78,31.96,81.76,3.72,20.31
4.28,31.04,83.98,2.85,20.6
4.56,32.33,80.93,4.11,20.67
2.39,31.97,83.03,4.52,21.36
2.37,31.66,85.99,18.67,21.7
3.26,30.55,87.11,6.42,21.08
4.69,29.91,86.77,6.5,20.51
5.33,31.72,81.33,3.02,19.76
5.59,32.07,82.17,4.2,20.32
5.6,31.9,81.75,2.28,20.51
4.45,32.21,82.76,7.43,20.82
2.49,31.52,83.09,5.52,20.46
3.82,29.74,87.12,12.36,20.72
3.14,29.74,86.61,11.39,20.04
3.09,29.71,87.86,18.55,20.25
0.95,28.56,89.56,24.58,19.99
5.03,30.43,84.61,4.38,19.61
5.38,31.77,80.78,0.77,19.41
6.17,31.12,84.25,2.52,20.48
3.05,29.61,87.65,7.17,20.67
3.11,29.58,88.01,30.62,20.43
4.06,29.04,88.73,22.14,20.29
3.67,29.43,89.68,29.19,20.82
2.16,29.77,87.38,28.97,20.76
0.91,30.97,87.4,36.84,20.82
1.25,29.39,87.98,21.35,20.61
1.38,30.47,88.43,15.71,21.41
2.46,30.97,85.88,4.98,21.07
3.03,30.14,88.03,15.47,20.73
2.38,28.33,91.5,24.38,20.54
1.41,28.97,89.92,10.61,20.59
2.28,30.93,87.24,8.06,20.9
4.31,30.68,86.75,3.35,20.97
4.49,31.3,85.4,2.72,21.02
4.64,30.51,87.74,6.02,21.52
2.85,30.03,89.32,10.61,21.53
2.6,29.22,90.01,46.1,20.75
2.42,29.41,89.37,24.14,20.02
